student_id,semester,subject,assignment_marks,quiz_marks,attendance_percentage,midterm_marks,previous_cgpa,final_marks,final_grade
S1000,7,Economics,3.84,73,93,74,3.42,79.0,A-
S1001,4,Computer Science,4.72,42,99,41,3.58,67.0,B
S1002,5,Computer Science,4.25,76,70,66,3.03,74.0,B+
S1003,7,Economics,1.24,82,62,41,2.88,54.0,C
S1004,3,Mathematics,2.25,79,65,74,2.29,65.0,B
S1005,8,Chemistry,0.65,65,68,57,2.66,53.0,C
S1006,5,Physics,4.77,94,65,53,2.87,75.0,A-
S1007,5,Mathematics,3.03,62,68,59,2.18,60.0,B-
S1008,7,Physics,1.14,83,98,57,2.44,60.0,B-
S1009,2,Economics,3.36,78,90,49,3.2,69.0,B
S1010,3,English,3.09,54,91,64,3.47,69.0,B
S1011,7,Physics,1.79,95,100,41,4.0,68.0,B
S1012,3,Chemistry,0.57,88,71,64,3.87,66.0,B
S1013,3,English,3.36,43,67,100,3.29,75.0,A-
S1014,8,Physics,2.6,68,67,93,2.84,73.0,B+
S1015,5,Economics,3.86,61,87,72,3.27,74.0,B+
S1016,4,English,2.6,64,79,75,3.57,71.0,B+
S1017,8,Economics,4.26,52,66,70,2.24,66.0,B
S1018,8,Physics,2.76,57,70,53,2.82,59.0,C+
S1019,3,Economics,2.8,72,79,40,3.68,64.0,B-
S1020,6,Chemistry,4.38,55,75,85,2.77,75.0,A-
S1021,5,Physics,2.02,84,63,55,3.14,63.0,B-
S1022,2,Physics,0.67,81,65,93,3.18,69.0,B
S1023,8,Physics,0.14,83,81,85,2.37,63.0,B-
S1024,4,Mathematics,3.78,41,85,100,2.72,75.0,A-
S1025,6,Mathematics,3.1,94,62,91,2.67,78.0,A-
S1026,6,Mathematics,3.52,74,100,42,2.05,62.0,B-
S1027,2,Chemistry,1.06,81,73,74,2.05,60.0,B-
S1028,8,English,0.68,73,70,80,3.66,67.0,B
S1029,4,Economics,0.07,69,77,45,2.55,48.0,D
S1030,5,Computer Science,1.75,98,71,64,3.04,68.0,B
S1031,1,Physics,2.95,94,82,52,2.6,67.0,B
S1032,4,Economics,1.96,52,71,92,3.88,72.0,B+
S1033,2,Physics,2.19,52,72,73,2.52,61.0,B-
S1034,6,Chemistry,4.52,57,84,47,2.86,66.0,B
S1035,5,Physics,1.74,71,78,60,3.75,66.0,B
S1036,4,Mathematics,2.57,71,95,73,3.68,74.0,B+
S1037,1,Computer Science,3.92,74,67,43,2.37,62.0,B-
S1038,1,Biology,1.98,98,88,64,3.61,74.0,B+
S1039,3,Physics,3.11,78,91,54,2.92,68.0,B
S1040,3,Economics,4.31,85,77,43,2.97,70.0,B+
S1041,7,Mathematics,4.75,91,65,84,2.27,80.0,A
S1042,2,Biology,0.74,68,77,99,2.16,65.0,B
S1043,8,Computer Science,4.63,88,78,51,3.46,77.0,A-
S1044,4,Biology,2.46,68,81,71,2.99,68.0,B
