student_id,semester,subject,assignment_marks,quiz_marks,attendance_percentage,midterm_marks,previous_cgpa,final_marks,final_grade
CSE0001,1,Structured Programming,4,10,57,25,2.75,40,A+
CSE0001,1,Discrete Mathematics,2,10,73,25,2.75,39,A
CSE0001,1,Calculus,3,7,73,7,2.75,18,F
CSE0001,1,Physics,3,4,82,16,2.75,29,C+
CSE0001,1,English,1,5,93,29,2.75,43,A+
CSE0001,2,Data Structures,1,2,93,27,2.75,27,B
CSE0001,2,Digital Logic,3,8,52,9,2.75,16,F
CSE0001,2,Linear Algebra,1,3,74,18,2.75,27,C
CSE0001,2,Chemistry,1,9,58,30,2.75,44,A+
CSE0001,2,Statistics,3,6,93,12,2.75,22,D
CSE0001,3,Algorithms,2,0,85,22,2.75,21,D
CSE0001,3,OOP,5,5,91,8,2.75,28,C
CSE0001,3,Numerical Methods,5,1,75,16,2.75,29,C
CSE0001,3,Electronic Devices,5,6,89,25,2.75,41,A+
CSE0001,3,Probability,4,1,96,25,2.75,37,A-
CSE0001,4,Database Systems,3,8,78,19,2.75,34,B+
CSE0001,4,Operating Systems,4,0,74,11,2.75,9,F
CSE0001,4,Computer Architecture,2,2,66,12,2.75,12,F
CSE0001,4,Signals,2,2,82,9,2.75,18,F
CSE0001,4,Theory of Computation,3,6,58,12,2.75,26,D
CSE0001,5,Computer Networks,3,1,82,20,2.75,35,B
CSE0001,5,Software Engineering,4,2,93,12,2.75,17,F
CSE0001,5,Microprocessors,5,10,84,5,2.75,25,D
CSE0001,5,Artificial Intelligence,2,0,54,30,2.75,34,B+
CSE0001,5,Compiler Design,5,6,76,13,2.75,24,C
CSE0001,6,Machine Learning,3,2,81,11,2.75,21,D
CSE0001,6,Distributed Systems,0,3,81,8,2.75,13,F
CSE0001,6,Information Security,4,10,78,8,2.75,27,C
CSE0001,6,Computer Graphics,4,6,100,26,2.75,42,A+
CSE0001,6,Data Mining,5,8,55,16,2.75,36,B+
CSE0001,7,Deep Learning,3,3,79,15,2.75,21,D
CSE0001,7,Cloud Computing,0,6,82,5,2.75,13,F
CSE0001,7,Cyber Security,0,10,62,13,2.75,21,D
CSE0001,7,Big Data Analytics,2,8,86,5,2.75,16,F
CSE0001,7,Research Methodology,2,9,93,28,2.75,42,A+
CSE0001,8,Blockchain,0,3,98,21,2.75,30,C+
CSE0001,8,IoT,1,3,61,11,2.75,8,F
