student_id,semester,subject,assignment_marks,quiz_marks,attendance_percentage,midterm_marks,previous_cgpa,final_marks,final_grade
S00001,7,Data Mining,5.00,8.06,90.55,18.71,2.46,35.79,A-
S00001,7,Cloud Computing,2.63,7.59,68.04,21.63,2.46,29.16,B
S00001,7,Mobile App Development,2.42,4.55,77.86,12.39,2.46,23.72,D
S00002,6,Artificial Intelligence,4.04,6.70,88.09,22.86,3.52,23.01,B
S00002,6,Web Engineering,3.73,7.94,80.24,19.18,3.52,38.53,A-
S00002,6,Information Security,4.46,8.51,81.01,22.62,3.52,25.65,B+
S00003,6,Artificial Intelligence,2.68,4.98,83.71,13.75,3.25,31.59,C+
S00003,6,Web Engineering,5.00,5.85,78.72,22.05,3.25,38.01,A-
S00003,6,Information Security,5.00,8.79,90.61,18.89,3.25,35.77,A-
S00004,4,Operating Systems,3.36,8.47,100.00,20.33,3.61,39.48,A
S00004,4,Software Engineering,4.15,6.82,93.30,18.86,3.61,33.26,B+
S00004,4,Theory of Computation,3.75,7.78,90.07,22.41,3.61,36.06,A-
S00005,7,Data Mining,2.88,4.78,68.65,11.86,2.84,27.27,C
S00005,7,Cloud Computing,3.29,7.46,89.42,21.01,2.84,30.54,B+
S00005,7,Mobile App Development,2.03,7.21,100.00,15.68,2.84,33.46,B
S00006,4,Operating Systems,4.66,9.62,100.00,30.00,3.58,40.92,A+
S00006,4,Software Engineering,2.77,6.62,65.09,15.36,3.58,27.85,C+
S00006,4,Theory of Computation,3.39,7.68,66.30,25.41,3.58,23.67,B
S00007,3,Algorithms,4.61,9.09,87.04,23.32,3.91,31.13,A-
S00007,3,Database Systems,1.34,2.65,80.01,4.65,3.91,3.26,F
S00007,3,Computer Architecture,5.00,9.74,82.69,26.52,3.91,43.92,A+
S00008,7,Data Mining,2.61,4.39,85.53,14.35,3.16,28.26,C
S00008,7,Cloud Computing,4.89,8.09,100.00,29.03,3.16,46.06,A+
S00008,7,Mobile App Development,4.23,9.23,71.84,27.73,3.16,29.48,A-
S00009,6,Artificial Intelligence,3.85,9.24,85.45,29.77,3.22,42.10,A+
S00009,6,Web Engineering,2.76,7.01,70.55,17.71,3.22,32.66,B
S00009,6,Information Security,0.88,4.02,65.95,11.10,3.22,27.36,D
S00010,8,Deep Learning,4.14,6.98,91.76,28.00,3.37,39.14,A+
S00010,8,Distributed Systems,2.94,5.41,66.29,11.67,3.37,23.47,D
S00010,8,Project and Thesis,4.22,5.86,84.35,24.92,3.37,34.95,A-
S00011,7,Data Mining,4.11,5.86,93.60,20.61,3.55,31.44,B+
S00011,7,Cloud Computing,3.66,6.57,75.62,20.42,3.55,33.41,B+
S00011,7,Mobile App Development,3.42,6.06,97.44,21.25,3.55,32.14,B+
S00012,3,Algorithms,3.90,7.06,82.40,19.59,3.41,33.57,B+
S00012,3,Database Systems,3.07,6.08,84.79,22.15,3.41,32.34,B+
S00012,3,Computer Architecture,3.53,8.63,73.06,22.90,3.41,35.79,A-
S00013,5,Computer Networks,2.17,6.79,74.30,22.57,2.99,25.61,B
S00013,5,Machine Learning,2.59,8.33,85.53,21.34,2.99,23.53,B
